Parameters
Crystal: LiNB-MgO
PM Type: Type 0:   e -> e + e
Crystal Length (m): 0.02
Crystal Theta (rad): 1.5707963267948966
Crystal Phi (rad): 0
Crystal Temperature (C): 47
Poling Period (m): 0.0000193208440971288
Pump Wavelength (m): 7.7506e-7
Signal Wavelength (m): 0.00000155012
Idler Wavelength (m): 0.00000155012
Pump Bandwidth FWHM (m): 
Signal Angle Internal (rad): 0
Idler Angle Internal (rad): 0
Signal Angle External (rad): 0
Idler Angle External (rad): 0
Pump Waist Radius(1/e^2) (m): 0.00009999999999999999
Signal Waist Radius(1/e^2) (m): 0.00009999999999999999
Idler Waist Radius(1/e^2) (m): 0.00009999999999999999
Signal/Idler Focus Position inside crystal (m): 0.015319945543305949


x: Wavelength of Signal (nm)
1540,1540.2020202020203,1540.4040404040404,1540.6060606060607,1540.8080808080808,1541.010101010101,1541.2121212121212,1541.4141414141413,1541.6161616161617,1541.8181818181818,1542.020202020202,1542.2222222222222,1542.4242424242423,1542.6262626262628,1542.8282828282827,1543.030303030303,1543.2323232323233,1543.4343434343436,1543.6363636363635,1543.8383838383838,1544.0404040404042,1544.242424242424,1544.4444444444443,1544.646464646465,1544.848484848485,1545.050505050505,1545.2525252525252,1545.4545454545455,1545.6565656565656,1545.858585858586,1546.0606060606062,1546.2626262626263,1546.4646464646464,1546.6666666666665,1546.8686868686868,1547.0707070707072,1547.2727272727273,1547.4747474747476,1547.6767676767677,1547.878787878788,1548.080808080808,1548.2828282828282,1548.4848484848485,1548.6868686868688,1548.8888888888887,1549.090909090909,1549.2929292929293,1549.4949494949497,1549.6969696969695,1549.8989898989898,1550.1010101010102,1550.3030303030305,1550.5050505050506,1550.7070707070707,1550.909090909091,1551.1111111111113,1551.3131313131312,1551.5151515151515,1551.7171717171718,1551.919191919192,1552.121212121212,1552.3232323232323,1552.5252525252527,1552.7272727272727,1552.9292929292928,1553.1313131313132,1553.3333333333335,1553.5353535353534,1553.7373737373737,1553.9393939393938,1554.141414141414,1554.3434343434344,1554.5454545454545,1554.7474747474748,1554.9494949494951,1555.1515151515152,1555.3535353535353,1555.5555555555557,1555.7575757575758,1555.959595959596,1556.1616161616162,1556.3636363636365,1556.5656565656568,1556.7676767676767,1556.969696969697,1557.171717171717,1557.3737373737374,1557.5757575757577,1557.7777777777778,1557.9797979797981,1558.1818181818182,1558.3838383838383,1558.5858585858587,1558.7878787878788,1558.989898989899,1559.1919191919192,1559.3939393939395,1559.5959595959596,1559.7979797979797,1560
y: Wavelength of Idler (nm)
1560,1559.7979797979797,1559.5959595959596,1559.3939393939395,1559.1919191919192,1558.989898989899,1558.7878787878788,1558.5858585858587,1558.3838383838383,1558.1818181818182,1557.9797979797981,1557.7777777777778,1557.5757575757577,1557.3737373737374,1557.171717171717,1556.969696969697,1556.7676767676767,1556.5656565656568,1556.3636363636365,1556.1616161616162,1555.959595959596,1555.7575757575758,1555.5555555555557,1555.3535353535353,1555.151515151515,1554.9494949494951,1554.7474747474748,1554.5454545454545,1554.3434343434344,1554.141414141414,1553.939393939394,1553.7373737373737,1553.5353535353534,1553.3333333333335,1553.1313131313132,1552.9292929292928,1552.7272727272727,1552.5252525252527,1552.3232323232323,1552.121212121212,1551.919191919192,1551.7171717171718,1551.5151515151515,1551.3131313131312,1551.1111111111113,1550.909090909091,1550.7070707070707,1550.5050505050506,1550.3030303030305,1550.1010101010102,1549.8989898989898,1549.6969696969695,1549.4949494949497,1549.2929292929293,1549.090909090909,1548.8888888888887,1548.6868686868688,1548.4848484848485,1548.2828282828282,1548.080808080808,1547.878787878788,1547.6767676767677,1547.4747474747473,1547.2727272727275,1547.0707070707072,1546.8686868686868,1546.6666666666665,1546.4646464646464,1546.2626262626263,1546.060606060606,1545.8585858585861,1545.6565656565658,1545.4545454545453,1545.2525252525252,1545.050505050505,1544.8484848484848,1544.6464646464647,1544.4444444444443,1544.2424242424242,1544.040404040404,1543.8383838383838,1543.6363636363637,1543.4343434343436,1543.2323232323233,1543.030303030303,1542.828282828283,1542.6262626262626,1542.4242424242425,1542.2222222222224,1542.0202020202023,1541.818181818182,1541.6161616161614,1541.4141414141413,1541.212121212121,1541.010101010101,1540.8080808080808,1540.6060606060607,1540.4040404040404,1540.2020202020203,1540
Data
0.7055836656763983,0.9180458120606992,1.0156256843539513,0.9649361088804246,0.7837158329528668,0.5325373271866325,0.2875262013495402,0.10843248812421419,0.017932814213781328,0.0008077044034839336,0.02035654978988214,0.04085037674125344,0.04354054974549098,0.0295340549574652,0.011359126279549402,0.0009076378009779037,0.0016753858466783623,0.008735671866770465,0.014316337604055004,0.0138609949829905,0.008393138563566284,0.002446886282512001,0.000002840074719713908,0.0017106375254538916,0.00509135095769043,0.006966301887874337,0.0059227386316119965,0.0030204260997347167,0.0005497766239556866,0.00010385378396564733,0.0015050580892680605,0.003233255246619487,0.003785275871028629,0.0028004888436319745,0.0011499148219665067,0.00008612252697837223,0.00023725527151156634,0.0012246126226941158,0.0020975360021891834,0.002136553496183299,0.0013649585741197469,0.00042469097625005234,0.0000012651225465161948,0.0002965569124572479,0.0009417918577687228,0.0013555073728556757,0.0012140114382697051,0.0006623874944334121,0.00014124264919513493,0.000012315633246681158,0.0002937910928381547,0.0006914576331144772,0.0008629053579046923,0.0006836952320635006,0.0003134170712635935,0.000037718663979691426,0.00003523005648430917,0.00025575019997420463,0.00048755164660410145,0.0005383852958121336,0.0003785002762309281,0.00014235770944650514,0.000005922668542593695,0.000048285574475681,0.00020417781398804455,0.00033157099104587893,0.0003285705501885497,0.00020510500998503517,0.00006117047913088824,1.9150132130624665e-8,0.00005000947914715915,0.00015280325441880264,0.00021824450740784304,0.00019609445271692586,0.00010858735275975237,0.000024443080599517443,0.000001395220816647792,0.00004437120707622416,0.00010859751417649465,0.00013946180686187724,0.00011454615364040957,0.00005615662146404325,0.00000886330431985337,0.000003389795434670266,0.000035549758823238635,0.00007392398693971542,0.00008676680417246122,0.00006559780573465252,0.000028404272812997976,0.000002797965131075174,0.0000042905877116669834,0.000026429403844765938,0.0000484951468420997,0.000052702066240993333,0.00003691161396561032,0.000014088504846554675,7.061095297783674e-7,0.000004150466105127526,0.000018528226068194627,0.000030804182293749525
0.452756374924462,0.7105956564154469,0.9213126972144587,1.0160875937305822,0.9624948307244394,0.7792647118455128,0.5275401196774877,0.283374411542001,0.10591148218255438,0.017040628425461002,0.000960049626610944,0.020807899972825308,0.04107829326053743,0.04340886774455061,0.029208108958914278,0.011087433767956241,0.0008306065747937511,0.0017643543710388016,0.008860619710778428,0.014362014048596893,0.013801807755630637,0.008287238313957026,0.0023737043504299007,8.982907593987691e-7,0.0017589973141801812,0.005137844145341424,0.006972095257723451,0.005887758656516202,0.002975308277867356,0.0005270292265111916,0.00011340848439569093,0.0015312276709929054,0.0032511985343977442,0.003781141819107118,0.0027796758293319743,0.0011295182218446496,0.00008004405744294867,0.000246355339960251,0.0012383386455999761,0.0021037953402653765,0.00213102796308326,0.0013530001680135309,0.00041565446708361544,8.058562569404121e-7,0.0003030030014998921,0.0009486194225832784,0.0013570392529288976,0.001209530180461963,0.0006558456062128637,0.00013752086883819328,0.000013407239765728907,0.0002977833283093837,0.0006946083767665454,0.0008627452053841128,0.0006806617437390322,0.00031004242103665136,0.00003638664999816287,0.00003641913612645241,0.00025799439108231963,0.0004888595274206084,0.0005378113474068826,0.00037667010111045867,0.00014073357345927853,0.000005572368112561367,0.00004915702687520283,0.00020533168624755423,0.0003320313983290718,0.0003280531866826437,0.00020410370566976722,0.00006045227110786437,8.46701132032597e-9,0.0000505376883548467,0.00015334206726214583,0.0002183611973623539,0.00019575109800650211,0.00010809265122445088,0.000024158698856365676,0.0000014606359135633699,0.000044646067586203086,0.00010882066219652853,0.00013946624850574233,0.0001143604825962036,0.000055942065443178804,0.000008767535391098638,0.0000034428656832511637,0.000035669277637226584,0.0000740010932041707,0.00008675108657079373,0.00006551892006394875,0.000028329680850993212,0.000002773978672308032,0.000004314763479554099,0.000026466576735572413,0.00004851309483963407,0.00005269414861740793,0.00003689274293528999,0.000014075673935605354,7.040133111547058e-7,0.00000415270413363145,0.000018528226068194583
0.22651247362686022,0.4578715241258835,0.7154864918507687,0.9244659257476364,1.0164816854848766,0.9600552386845921,0.7748828398896359,0.5226536308941907,0.27933733717611525,0.10347727382343791,0.016193167716105107,0.001120613335345416,0.0212486015930257,0.04129481727093751,0.043274927055254084,0.02888871929662064,0.01082473651495094,0.0007588191828558139,0.0018529125900610915,0.008981956904543115,0.01440481538002936,0.01374277396441697,0.008183978655118423,0.0023033667860702014,5.333697915313638e-8,0.0018064491247713722,0.0051826912178756235,0.006977042043654242,0.005853342548849174,0.002931576056819857,0.0005053750255720171,0.00012306526694698543,0.0015566805461493423,0.0032683660005384863,0.0037768408953231733,0.0027593880665974326,0.0011098717008300096,0.00007437098366085243,0.00025529799523925416,0.0012515901857704614,0.0021097122657116173,0.002125568426989201,0.0013414334486593048,0.000407011052694632,4.6089671300072553e-7,0.0003092582125117373,0.0009551622778130781,0.0013584449860701339,0.0012051745220695985,0.0006495656422386203,0.0001339914013384723,0.000014496407670844814,0.00030161947160400144,0.0006976024974753767,0.0008625600512816194,0.0006777472339286412,0.0003068298918484345,0.00003513854353855254,0.00003756806448002133,0.00026012930208375374,0.0004900893040863739,0.0005372532999534163,0.0003749319807734557,0.00013920336613226048,0.000005251385906896113,0.00004998433957447867,0.00020641603460650533,0.0003324578322972235,0.0003275630864517826,0.00020316636389813446,0.000059785167181415404,2.387794295156841e-9,0.00005102977791305212,0.00015383975176039662,0.0002184664631390611,0.0001954335962576214,0.0001076393230720574,0.000023900385348355142,0.0000015213720329263526,0.00004489508577297607,0.00010902093963753557,0.00013946943252346404,0.00011419504008829732,0.00005575289491059747,0.000008684151251679936,0.000003489170798643101,0.0000357717569042613,0.00007406617508392177,0.0000867378164043467,0.0000654543150839611,0.000028270049592246066,0.00000275539365235645,0.000004332934354411305,0.000026493127430583086,0.00004852504316681718,0.00005268938709441338,0.00003688330567664814,0.000014071397900949419,7.040133111547013e-7,0.000004150466105127525
0.07452729954046285,0.2304525285288317,0.4628922733507186,0.7202567335920123,0.9275079767730458,1.0168115839200396,0.9576208177552501,0.7705723715590886,0.5178781281967149,0.2754136317564159,0.10112777116247715,0.015388566590614616,0.0012883690035813667,0.021678524028596637,0.04150034083384795,0.043139154996634343,0.028576038405507303,0.01057089119690458,0.0006920188780599164,0.0019408944472110382,0.00909969251555533,0.01444486707474205,0.013684012060286735,0.008083384995269133,0.002235808171884234,2.1651791064791347e-7,0.0018529501405387646,0.005225915680997059,0.006981199644661683,0.005819531206446784,0.0028892261785119127,0.00048477738870903933,0.00013278766970743883,0.0015814073797734533,0.003284777020760743,0.003772401020996283,0.0027396392282384233,0.0010909667773659727,0.00006908287671295848,0.0002640682431480105,0.00126436791926245,0.002115299773687472,0.0021201881699671773,0.0013302618219509126,0.00039875330589164004,2.1936105309341557e-7,0.00031531694480711883,0.000961423387070033,0.0013597323781503266,0.0012009503746138223,0.0006435474440505477,0.0001306491192491047,0.00001557770020063003,0.00030529788855912656,0.0007004427292146052,0.0008623541901218853,0.0006749540537216823,0.0003037784379966922,0.00003397124288962097,0.00003867433743175161,0.00026215478116187267,0.0004912428758296921,0.0005367133232564263,0.00037328668369341906,0.0001377661170203089,0.000004958030889479724,0.00005076647438228769,0.00020743111948647792,0.0003328514194801725,0.00032710124790066196,0.00020229313726998554,0.00005916851366080192,7.968344203603895e-11,0.00005148537693907137,0.0001542965779437482,0.00021856089104827975,0.00019514235714059882,0.00010722733590749077,0.00002366777710941536,0.0000015770651395038615,0.00004511815806761575,0.00010919851990406143,0.00013947162247214998,0.0001140499691667418,0.000055589057095051986,0.00000861298675743909,0.0000035285771733426766,0.00003585718004295881,0.00007411931334020877,0.00008672708763548056,0.00006540402820279492,0.000028225350881533703,0.000002742156721994073,0.000004345066847533893,0.00002650905728653048,0.00004853101224301908,0.00005268779807312859,0.000036883305678331706,0.000014075673935605364,7.061095297783598e-7
0.007612428992043802,0.07670641604011373,0.23434097986550778,0.4678174224762114,0.724906994653691,0.9304413255806998,1.0170808487768597,0.9551949499547108,0.7663353604010834,0.5132138191378524,0.27160194486230965,0.09886092512556077,0.014625021080903028,0.001462340741801723,0.02209755968634779,0.041695253066015125,0.04300196353644385,0.028270206071249172,0.01032575238652077,0.000629955712905843,0.002028142346397378,0.00921383947788715,0.01448229256244481,0.013625635689570918,0.00798547942537652,0.002170963431161818,0.0000013020504251236645,0.0018984603112444072,0.005267541684622733,0.006984623945571933,0.00578636348420698,0.0028482544908642908,0.00046520041006579017,0.00014254072558956857,0.0016053998191113933,0.0033004507906172786,0.0037678491333622208,0.0027204421020105606,0.001072794870437525,0.00006415993167174308,0.0002726518435590087,0.0012766728010810335,0.002120570530596256,0.0021148998889758707,0.0013194883540960107,0.0003908739291487639,7.0798589559742e-8,0.0003211739521648438,0.0009674057275661614,0.0013609089500064469,0.0011968633309981914,0.0006377907581621436,0.00012748906595248403,0.00001664594600629847,0.00030881708627475884,0.0007031317322389534,0.0008621317158053552,0.0006722844007789715,0.000300887022617353,0.00003288178850382693,0.00003973559876454476,0.0002640707166431639,0.0004923220569598377,0.0005361934611087249,0.0003717349141655349,0.0001364208963174013,0.000004690711602323763,0.00005150246786778431,0.00020837719706285476,0.00033321321766684327,0.0003266685971689729,0.0002014841590668872,0.00005860169895394594,7.730314943385722e-10,0.00005190414791303603,0.00015471279868384177,0.00021864501907020083,0.00019487775245594736,0.00010685665764025276,0.000023460544925940633,0.0000016273884649005794,0.00004531519296697862,0.00010935355839266736,0.00013947305070273347,0.00011392539420643897,0.000055450505797141474,0.000008553900042784836,0.00000356097200427211,0.00003592553396571656,0.00007416057420122919,0.00008671897540909549,0.00006536808842011791,0.000028195563616384606,0.0000027342298110681856,0.000004351138644440491,0.000026514367130265578,0.00004853101224301908,0.00005268938709441334,0.00003689274293529004,0.000014088504846554695
0.003856245517098113,0.00821276773766634,0.07887381334716928,0.23817566531192258,0.47264584633616,0.7294379366865739,0.9332684413052534,1.0172929732926186,0.9527809149247694,0.7621737623483894,0.5086608530458953,0.2679009244441307,0.09667473004048056,0.013900787796737667,0.00164160143388205,0.022505622489853792,0.04187993927139665,0.04286374938081387,0.02797135014892464,0.010089173228046805,0.0005723866121056092,0.0021145068387552436,0.009324414249353753,0.01451721306301856,0.013567753760523302,0.007890280960090498,0.0021087679490760115,0.0000032270551184787473,0.0019429422544590897,0.005307593851343877,0.006987369291782767,0.005753876256945939,0.0028086560379074477,0.0004466089531841379,0.00015229093320883228,0.001628650431474974,0.003315406281322127,0.003763211185658809,0.0027018086369963324,0.001055347322182892,0.000059582977152816086,0.0002810352895838728,0.0012885060405566876,0.002125536860658641,0.00210971570719484,0.0013091157932058673,0.0003833657750744031,5.189759652658316e-9,0.0003268243243308559,0.0009731122721612446,0.0013619819335800348,0.0011929186792853648,0.0006322952496259074,0.00012450646114864155,0.000017696235728986926,0.00031217570533303453,0.0007056720858794613,0.000861896521318264,0.0006697403263036918,0.00029815462159045626,0.00003186736367376522,0.00004074963715254286,0.00026587703072713023,0.0004933285750626476,0.0005356956333299948,0.0003702773158130924,0.000135166816862823,0.0000044479361847225345,0.00005219142967611516,0.00020925451796685823,0.000333544215241968,0.0003262659897282102,0.00020073954508891207,0.000058084153855392885,3.761041383459609e-9,0.00005228578593136328,0.00015508864871623468,0.00021871933679143613,0.00019464011570973728,0.00010652725676511686,0.000023278392778985636,0.0000016720523341142376,0.000045486111859673865,0.00010948619213627388,0.00013947391861010382,0.00011382142116199964,0.00005533720082560414,0.00000850677280985074,0.0000035862632497110035,0.000035976808253188935,0.0000741900092530317,0.00008671353596704416,0.00006534651629445663,0.000028180673480198145,0.0000027315900353414006,0.000004351138644440495,0.000026509057286530466,0.000048525043166817106,0.0000526941486174079,0.0000369116139656103
